id,langue,locuteur,ton_patron,paire_minimale,id_paire,duree_sec,f0_mean,f0_std,f0_range_hz,f0_range_st,f0_slope_hz_per_ms,n_inflexions_per_sec,voiced_ratio,mfcc_01_mean,mfcc_02_mean,mfcc_03_mean,mfcc_04_mean,mfcc_05_mean,mfcc_06_mean,mfcc_07_mean,mfcc_08_mean,mfcc_09_mean,mfcc_10_mean,mfcc_11_mean,mfcc_12_mean,mfcc_13_mean,delta_energy_mean,delta2_energy_mean
wol_021,wolof,L1_inconnu,,non,,6.351,129.56,39.18,172.92,18.4,0.014,11.64,0.417,-411.9433,116.6929,15.5382,24.2763,-12.0421,3.259,-17.0434,-4.553,-22.9611,7.9234,-15.0526,0.1935,-14.515,2.101,1.2386
wol_022,wolof,L1_inconnu,,non,,3.144,174.79,26.36,126.02,14.5,-0.0465,6.67,0.362,-484.6766,51.478,-30.876,11.2255,-11.8439,0.193,-8.5753,-9.0302,-8.0119,4.3127,-20.9813,2.5379,-9.3339,2.895,1.4266
wol_023,wolof,L1_inconnu,,non,,4.699,126.78,14.21,65.86,8.4,-0.0114,26.38,0.643,-396.1663,106.2484,8.7632,34.8578,1.02,4.3262,-5.3571,-6.7629,-8.6297,4.3243,-9.9184,-0.9905,-12.6072,2.0718,1.0823
wol_024,wolof,L1_inconnu,,non,,17.04,104.54,10.42,49.45,8.3,-0.0004,7.51,0.23,-543.8698,53.8744,18.5828,24.1229,-0.4779,3.3244,-5.9513,2.2842,-10.084,-2.3625,-9.5047,1.6487,-8.4085,2.4673,1.2443
wol_025,wolof,L1_inconnu,,non,,2.391,136.62,10.53,47.91,6.0,-0.0115,15.42,0.567,-553.499,101.3322,38.7848,38.7745,16.4843,10.3358,-2.8484,1.9124,-19.88,-0.2357,-7.3767,4.4042,-14.4439,4.174,2.0881
wol_026,wolof,L1_inconnu,,non,,3.344,155.15,15.15,72.3,8.6,0.0015,17.61,0.678,-373.4467,123.7458,-12.4465,28.8933,-20.0071,-2.9633,-15.3786,-22.9008,-18.5741,-7.1058,-13.7174,-10.2524,-8.3588,3.4925,1.7997
wol_027,wolof,L1_inconnu,,non,,4.72,95.66,10.66,39.34,7.3,-0.0028,14.16,0.512,-443.0644,114.9913,13.1998,22.2682,-5.1756,10.2689,-2.2872,3.5896,-6.071,6.1633,-4.2662,5.4117,-5.5138,2.0344,1.0343
wol_028,wolof,L1_inconnu,,non,,11.34,210.13,27.94,176.99,13.6,-0.0036,11.01,0.593,-602.8943,93.3113,7.6187,42.7712,-29.0942,12.2893,-30.3241,-3.4168,-11.0144,-16.3414,-4.9192,-12.7527,-3.6074,2.1301,1.1123
wol_029,wolof,L1_inconnu,,non,,5.496,231.53,91.25,258.11,20.1,0.0723,4.73,0.173,-531.3333,33.1287,-6.5155,8.0588,0.1463,0.979,-12.277,-3.4157,-10.9728,-0.4795,-3.3277,7.9514,-5.8464,2.1831,0.9694
wol_030,wolof,L1_inconnu,,non,,5.52,92.84,9.69,41.34,7.6,-0.0062,12.48,0.503,-302.4644,96.0532,15.8859,46.6682,7.0326,14.003,-4.1398,9.9657,-8.9367,4.2303,-7.9981,8.7538,-9.7203,2.5315,1.3862
wol_031,wolof,L1_inconnu,,non,,2.739,82.5,11.42,34.81,6.6,-0.0138,10.22,0.303,-329.1389,100.7061,24.257,43.2482,8.8206,17.7511,-2.1593,14.7825,-7.005,9.5275,-0.887,7.0638,-3.9423,2.5419,1.3097
wol_032,wolof,L1_inconnu,,non,,4.55,194.6,16.26,110.18,9.2,-0.0111,10.75,0.482,-432.421,112.0336,14.4166,29.0137,-1.3397,-5.2178,-14.8363,-6.891,-5.1305,-1.9691,-10.6676,1.7747,-2.0427,1.9798,1.0153
wol_033,wolof,L1_inconnu,,non,,3.495,154.85,9.9,43.98,5.0,0.0005,15.43,0.486,-429.2933,111.0613,9.4557,31.5539,3.7829,-2.2897,-7.9535,-9.9093,-13.6143,-3.0079,-14.7232,-1.3932,-11.5494,1.8705,1.0328
wol_034,wolof,L1_inconnu,,non,,5.428,185.59,13.95,67.87,6.4,-0.0096,10.13,0.387,-440.9868,99.0263,-0.9502,25.4471,-6.4116,6.165,-8.7632,1.5321,-5.0934,1.9761,-6.981,-0.7596,-1.9441,1.5167,0.838
wol_035,wolof,L1_inconnu,,non,,3.022,123.19,16.07,65.82,9.4,-0.0151,19.14,0.696,-472.8811,115.6836,17.6907,67.3171,6.5636,18.968,0.8538,0.9498,-6.0865,-2.6337,-2.5986,-4.4885,-8.5235,3.4132,1.6379
sw_001,swahili,L1_masculin,,non,,2.77,211.55,45.31,186.97,15.8,-0.0171,17.63,0.835,-334.8535,90.4921,-7.1545,70.8059,-24.6842,16.9028,-22.7946,2.5016,-17.2339,-2.1262,-5.5097,-6.4746,-4.7126,4.1215,2.0555
sw_002,swahili,L1_masculin,,non,,4.26,242.82,47.48,225.15,16.6,-0.0159,14.29,0.698,-300.8104,95.4838,-1.5291,73.4484,-16.389,19.2993,-21.2433,17.3529,-14.0883,4.1821,-5.1357,8.2375,-4.8753,3.8995,2.0652
sw_003,swahili,L1_masculin,,non,,4.41,235.36,61.01,290.1,27.4,-0.0125,14.25,0.771,-299.3655,90.766,2.498,77.515,-20.6983,20.238,-19.5689,16.7389,-10.4423,3.0855,-5.8665,2.5762,-2.6658,3.5226,1.8432
sw_004,swahili,L1_masculin,,non,,3.25,215.37,43.16,228.86,15.8,0.0001,15.34,0.73,-312.5837,85.2207,-16.6445,65.299,-31.2565,20.0685,-27.9528,7.2089,-13.1569,-0.1341,-6.3771,-6.4491,-5.903,3.7382,1.9056
sw_005,swahili,L1_masculin,,non,,4.6,218.43,34.9,167.26,12.5,-0.0195,13.45,0.842,-311.6071,102.2353,-18.372,75.0652,-36.9272,26.6807,-17.8131,1.5905,-6.2844,-6.555,1.1819,-5.6898,-2.6536,4.0073,2.1079
sw_006,swahili,L1_masculin,,non,,3.51,190.7,20.92,100.38,9.7,-0.0168,19.89,0.761,-333.4732,98.688,3.8036,77.1715,-23.1288,25.481,-15.0482,3.6329,-9.4042,-0.415,-0.9601,-1.6101,-1.5648,4.1246,2.2958
sw_007,swahili,L1_masculin,,non,,4.09,139.25,19.37,131.09,17.5,-0.0025,19.27,0.866,-312.0287,91.4298,-3.1112,81.0731,-17.9388,17.8205,-7.8847,-3.2098,-13.078,0.5168,-20.2624,5.7888,-20.2722,4.2964,2.1156
sw_008,swahili,L1_masculin,,non,,3.04,139.92,10.75,81.85,9.6,0.0003,19.02,0.787,-316.7093,71.487,-5.8315,79.9686,-19.367,25.0637,-16.7705,-4.4566,-14.2757,3.6633,-20.4535,10.9789,-23.609,4.3843,2.1824
sw_009,swahili,L1_masculin,,non,,2.76,125.87,16.73,69.95,10.7,-0.0113,18.41,0.798,-355.3884,128.9101,3.772,65.9547,-31.7215,18.8577,1.3994,-5.2068,-7.95,-2.6143,-17.1489,6.0719,-19.4018,4.4273,2.222
sw_010,swahili,L1_masculin,,non,,3.86,139.63,14.64,81.61,11.2,0.0028,23.51,0.842,-325.1228,85.08,-8.0202,85.104,-18.2528,19.3369,-11.6344,-11.2694,-16.5314,-0.3041,-20.6115,10.4165,-22.8748,4.5177,2.2945
sw_011,swahili,L1_masculin,,non,,4.51,142.92,15.05,69.41,9.2,0.0014,16.81,0.746,-345.8797,100.0407,-8.1758,63.4531,-30.2951,17.792,-4.3089,-8.4922,-8.5838,0.8228,-18.5317,10.3487,-19.8772,4.6249,2.207
sw_012,swahili,L1_masculin,,non,,2.451,145.62,8.44,47.38,5.8,0.001,17.89,0.85,-307.055,89.1042,-10.7995,70.4906,-29.5473,19.264,-10.646,-11.1566,-14.6492,0.219,-20.8925,10.1115,-24.2571,4.452,2.0115
sw_013,swahili,L1_masculin,,non,,2.44,142.19,11.34,65.54,8.6,-0.0014,17.55,0.829,-341.7791,87.2213,-10.4134,80.8575,-10.4143,15.6497,-11.2721,-11.909,-11.8142,-3.4134,-20.2623,9.6719,-21.6102,4.7594,2.1854
sw_014,swahili,L1_masculin,,non,,2.29,155.98,12.79,88.87,10.4,-0.0067,20.43,0.804,-329.1462,77.7119,-18.5551,67.8139,-27.8251,13.6813,-13.4345,-8.9555,-11.5907,2.3869,-18.9159,11.7072,-25.5744,4.0977,1.8389
sw_015,swahili,L1_masculin,,non,,2.811,149.24,15.84,100.24,13.2,0.0109,13.12,0.812,-342.8096,87.1299,-15.9244,78.656,-23.398,11.8187,-6.8114,-11.1682,-12.0434,-2.508,-19.7792,10.2193,-26.0535,4.5445,2.1538
sw_016,swahili,L1_masculin,,non,,2.19,145.68,12.76,75.77,10.6,0.0057,20.45,0.814,-313.5456,88.4411,-16.5692,74.9825,-30.3842,20.1681,-8.7256,-11.9049,-12.6899,0.5792,-23.3772,10.9484,-23.8251,4.5395,2.2132
sw_017,swahili,L1_masculin,,non,,2.451,144.08,16.65,91.23,11.6,-0.0,13.41,0.687,-361.5466,83.1511,-7.1278,75.4161,-13.9512,18.4982,-9.905,-8.1868,-8.9632,-5.7147,-18.523,8.7639,-21.8305,4.8821,2.1975
sw_018,swahili,L1_masculin,,non,,2.54,146.64,12.08,52.86,6.3,0.0024,17.65,0.757,-361.295,97.6677,4.0332,67.5559,-24.5327,14.2866,-1.8888,-8.2374,-8.5719,2.717,-25.0172,5.7173,-25.918,4.6149,2.2778
sw_019,swahili,L1_masculin,,non,,2.2,130.15,16.23,64.99,8.9,-0.013,14.03,0.624,-373.0837,91.7026,-5.5497,71.5759,-12.1812,18.1099,-0.3754,-6.2191,-10.2272,-2.2226,-15.7618,8.7192,-20.2398,4.8407,2.1836
